epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4785,0.94202,1.16422,1.18393,0.84257,0.76422,0.84041,0.62344,0.85466,0.83832,1.14523,0.000300168,0.000300168,0.000300168
2,91.9082,0.98086,1.1704,1.20352,0.77385,0.68901,0.77012,0.56393,0.93067,0.93864,1.2212,0.000563359,0.000563359,0.000563359
3,140.141,1.00513,1.20131,1.22007,0.70463,0.64467,0.71262,0.49588,1.04115,1.14396,1.30848,0.000786554,0.000786554,0.000786554
4,193.213,1.03228,1.26637,1.24365,0.78949,0.59947,0.7096,0.50705,0.99781,1.15044,1.29605,0.000729018,0.000729018,0.000729018
5,230.198,1.0021,1.20496,1.23371,0.79754,0.62166,0.74283,0.53396,1.00281,0.98988,1.29887,0.000669024,0.000669024,0.000669024
6,288.912,0.90766,0.99916,1.17548,0.78193,0.7289,0.79193,0.57374,0.94148,0.91118,1.23109,0.00060903,0.00060903,0.00060903
7,324.666,0.87485,0.90406,1.15134,0.80784,0.70038,0.7946,0.5627,0.94563,0.98859,1.23596,0.000549036,0.000549036,0.000549036
8,360.308,0.84221,0.83232,1.11984,0.80125,0.75261,0.82956,0.6144,0.88291,0.82286,1.17855,0.000489042,0.000489042,0.000489042
9,395.895,0.8052,0.77405,1.09298,0.83593,0.78666,0.85136,0.63512,0.85576,0.7623,1.16369,0.000429048,0.000429048,0.000429048
10,431.973,0.77638,0.71216,1.07408,0.8518,0.75354,0.85287,0.64414,0.82521,0.75617,1.12847,0.000369054,0.000369054,0.000369054
11,467.252,0.74606,0.67126,1.05507,0.85855,0.79939,0.88013,0.67212,0.78782,0.67396,1.09429,0.00030906,0.00030906,0.00030906
12,501.738,0.72008,0.6191,1.03391,0.89849,0.8256,0.90575,0.70226,0.74775,0.62397,1.07174,0.000249066,0.000249066,0.000249066
13,536.452,0.68953,0.575,1.01428,0.88413,0.85717,0.92107,0.72561,0.73431,0.55304,1.06508,0.000189072,0.000189072,0.000189072
14,571.405,0.6583,0.53954,1.00758,0.92575,0.87121,0.93267,0.73704,0.7181,0.51468,1.05566,0.000129078,0.000129078,0.000129078
15,606.35,0.64567,0.51279,0.99242,0.93475,0.8738,0.93712,0.74651,0.6868,0.49214,1.03013,6.9084e-05,6.9084e-05,6.9084e-05
